WILAYAH,KECAMATAN,NAMA FASKES (Rumah Sakit dan Puskesmas),Jenis Penyakit,Januari,latitude,longitude
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit mata dan adnexa,42.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit telinga dan mastoid,54.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada sistem sirkulasi,70.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada sistem pernafasan,631.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada sistem pencernaan,330.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada kulit dan jaringan subcutaneous,120.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada sistem musculoskletal,189.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit pada sistem saluran kemih dan genital,38.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Kehamilan dan kelahiran,52.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Keadaan yang berasal dari periode perinatal,1.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",100.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,"Keracunan, cedera dan beberapa penyebab yang dari luar",67.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyebab morbiditas dan kematian eksternal,3.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,196.0,-7.2393518,112.71726505000001
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit Infeksi dan parasit,93.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Neoplasma,0.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,0.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,"Endokrin, nutrisi dan gangguan metabolik",41.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Gangguan jiwa dan perilaku,0.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit yang mengenai sistem syaraf,7.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit mata dan adnexa,8.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit telinga dan mastoid,12.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada sistem sirkulasi,65.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada sistem pernafasan,247.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada sistem pencernaan,333.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada kulit dan jaringan subcutaneous,58.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada sistem musculoskletal,50.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyakit pada sistem saluran kemih dan genital,5.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Kehamilan dan kelahiran,1.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Keadaan yang berasal dari periode perinatal,3.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,"Malformasi kongenital, deformasi dan kelainan chromosom",3.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",154.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,"Keracunan, cedera dan beberapa penyebab yang dari luar",6.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Penyebab morbiditas dan kematian eksternal,3.0,-7.242490650000001,112.76403442545316
Surabaya Timur,Tambaksari,Puskesmas Gading,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,726.0,-7.242490650000001,112.76403442545316
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit Infeksi dan parasit,144.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Neoplasma,25.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,5.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,"Endokrin, nutrisi dan gangguan metabolik",142.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Gangguan jiwa dan perilaku,24.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit yang mengenai sistem syaraf,22.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit mata dan adnexa,140.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit telinga dan mastoid,44.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada sistem sirkulasi,168.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada sistem pernafasan,411.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada sistem pencernaan,573.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada kulit dan jaringan subcutaneous,89.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada sistem musculoskletal,198.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyakit pada sistem saluran kemih dan genital,65.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Kehamilan dan kelahiran,54.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Keadaan yang berasal dari periode perinatal,3.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",118.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,"Keracunan, cedera dan beberapa penyebab yang dari luar",66.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Penyebab morbiditas dan kematian eksternal,1.0,-7.33810175,112.7186968178111
Surabaya Selatan,Gayungan,Puskesmas Gayungan,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,636.0,-7.33810175,112.7186968178111
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit Infeksi dan parasit,139.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Neoplasma,17.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,2.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,"Endokrin, nutrisi dan gangguan metabolik",77.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Gangguan jiwa dan perilaku,15.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit yang mengenai sistem syaraf,18.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit mata dan adnexa,52.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit telinga dan mastoid,41.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada sistem sirkulasi,51.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada sistem pernafasan,760.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada sistem pencernaan,404.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada kulit dan jaringan subcutaneous,164.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada sistem musculoskletal,156.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyakit pada sistem saluran kemih dan genital,20.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Kehamilan dan kelahiran,58.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Keadaan yang berasal dari periode perinatal,3.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",95.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,"Keracunan, cedera dan beberapa penyebab yang dari luar",43.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Penyebab morbiditas dan kematian eksternal,0.0,-7.24724475,112.72539044999999
Surabaya Pusat,Bubutan,Puskesmas Gundih,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,309.0,-7.24724475,112.72539044999999
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit Infeksi dan parasit,129.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Neoplasma,16.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,"Endokrin, nutrisi dan gangguan metabolik",82.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Gangguan jiwa dan perilaku,24.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit yang mengenai sistem syaraf,29.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit mata dan adnexa,64.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit telinga dan mastoid,60.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada sistem sirkulasi,93.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada sistem pernafasan,460.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada sistem pencernaan,434.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada kulit dan jaringan subcutaneous,106.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada sistem musculoskletal,220.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyakit pada sistem saluran kemih dan genital,27.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Kehamilan dan kelahiran,27.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Keadaan yang berasal dari periode perinatal,24.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",97.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,"Keracunan, cedera dan beberapa penyebab yang dari luar",25.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Penyebab morbiditas dan kematian eksternal,3.0,-7.3408664,112.78397605
Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,540.0,-7.3408664,112.78397605
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit Infeksi dan parasit,279.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Neoplasma,20.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,13.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,"Endokrin, nutrisi dan gangguan metabolik",278.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Gangguan jiwa dan perilaku,46.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit yang mengenai sistem syaraf,47.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit mata dan adnexa,129.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit telinga dan mastoid,82.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada sistem sirkulasi,272.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada sistem pernafasan,687.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada sistem pencernaan,755.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada kulit dan jaringan subcutaneous,196.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada sistem musculoskletal,319.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyakit pada sistem saluran kemih dan genital,66.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Kehamilan dan kelahiran,48.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Keadaan yang berasal dari periode perinatal,18.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,"Malformasi kongenital, deformasi dan kelainan chromosom",3.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",126.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,"Keracunan, cedera dan beberapa penyebab yang dari luar",114.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Penyebab morbiditas dan kematian eksternal,3.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonokromo,Puskesmas Jagir,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,847.0,-7.3056601,112.73773229111423
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit Infeksi dan parasit,102.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Neoplasma,13.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,"Endokrin, nutrisi dan gangguan metabolik",112.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Gangguan jiwa dan perilaku,10.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit yang mengenai sistem syaraf,12.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit mata dan adnexa,42.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit telinga dan mastoid,39.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada sistem sirkulasi,33.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada sistem pernafasan,372.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada sistem pencernaan,261.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada kulit dan jaringan subcutaneous,48.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada sistem musculoskletal,108.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyakit pada sistem saluran kemih dan genital,25.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Kehamilan dan kelahiran,9.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Keadaan yang berasal dari periode perinatal,2.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",81.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,"Keracunan, cedera dan beberapa penyebab yang dari luar",74.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Penyebab morbiditas dan kematian eksternal,0.0,-7.32608185,112.73996903263735
Surabaya Selatan,Wonocolo,Puskesmas Jemursari,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,300.0,-7.32608185,112.73996903263735
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit Infeksi dan parasit,90.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Neoplasma,12.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,8.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,"Endokrin, nutrisi dan gangguan metabolik",55.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Gangguan jiwa dan perilaku,18.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit yang mengenai sistem syaraf,3.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit mata dan adnexa,51.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit telinga dan mastoid,22.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada sistem sirkulasi,68.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada sistem pernafasan,261.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada sistem pencernaan,365.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada kulit dan jaringan subcutaneous,102.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada sistem musculoskletal,123.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyakit pada sistem saluran kemih dan genital,24.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Kehamilan dan kelahiran,1.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Keadaan yang berasal dari periode perinatal,3.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",125.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,"Keracunan, cedera dan beberapa penyebab yang dari luar",20.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Penyebab morbiditas dan kematian eksternal,1.0,-7.3054418,112.63838027163933
Surabaya Barat,Lakarsantri,Puskesmas Jeruk,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,291.0,-7.3054418,112.63838027163933
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit Infeksi dan parasit,91.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Neoplasma,13.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,"Endokrin, nutrisi dan gangguan metabolik",53.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Gangguan jiwa dan perilaku,4.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit yang mengenai sistem syaraf,5.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit mata dan adnexa,40.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit telinga dan mastoid,24.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada sistem sirkulasi,63.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada sistem pernafasan,339.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada sistem pencernaan,336.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada kulit dan jaringan subcutaneous,82.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada sistem musculoskletal,134.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyakit pada sistem saluran kemih dan genital,31.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Kehamilan dan kelahiran,5.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Keadaan yang berasal dari periode perinatal,3.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",114.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,"Keracunan, cedera dan beberapa penyebab yang dari luar",27.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Penyebab morbiditas dan kematian eksternal,1.0,-7.2573961,112.77801422512428
Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,434.0,-7.2573961,112.77801422512428
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit Infeksi dan parasit,245.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Neoplasma,59.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,1.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,"Endokrin, nutrisi dan gangguan metabolik",459.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Gangguan jiwa dan perilaku,79.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit yang mengenai sistem syaraf,94.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit mata dan adnexa,254.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit telinga dan mastoid,110.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada sistem sirkulasi,638.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada sistem pernafasan,690.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada sistem pencernaan,721.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada kulit dan jaringan subcutaneous,204.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada sistem musculoskletal,408.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyakit pada sistem saluran kemih dan genital,97.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Kehamilan dan kelahiran,13.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Keadaan yang berasal dari periode perinatal,1.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,"Malformasi kongenital, deformasi dan kelainan chromosom",5.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",174.0,-7.3222179999999994,112.77076210366917
