WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;65
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;1
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;36
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;364
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;119
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;14
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;57
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;26
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;13
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;72
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;34
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;87
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;471
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;450
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;100
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;233
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;38
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;22
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;21
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;112
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;43
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;486
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;231
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;23
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;148
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;19
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;39
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;118
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;93
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;216
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;717
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;721
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;142
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;270
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;68
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;54
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;11
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;90
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;104
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;2
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;688
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;107
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;14
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;111
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;18
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;11
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;32
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;35
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;22
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;395
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;290
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;57
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;119
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;27
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;11
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;104
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;59
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;174
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;75
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;6
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;41
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;15
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;10
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;39
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;29
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;53
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;275
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;358
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;85
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;103
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;25
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;1
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;1
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;140
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;25
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;275
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;104
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;15
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;30
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;2
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;6
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;58
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;38
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;77
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;416
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;249
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;80
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;149
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;20
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;3
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;6
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;107
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;24
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;383
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;253
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;37
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Endokrin, nutrisi dan gangguan metabolik;309
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gangguan jiwa dan perilaku;67
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit yang mengenai sistem syaraf;83
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit mata dan adnexa;174
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit telinga dan mastoid;87
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem sirkulasi;413
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pernafasan;747
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pencernaan;673
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada kulit dan jaringan subcutaneous;175
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem musculoskletal;332
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem saluran kemih dan genital;86
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Kehamilan dan kelahiran;12
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;165
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keracunan, cedera dan beberapa penyebab yang dari luar;76
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyebab morbiditas dan kematian eksternal;4
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;900
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit Infeksi dan parasit;64
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Neoplasma;7
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Endokrin, nutrisi dan gangguan metabolik;73
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gangguan jiwa dan perilaku;16
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit yang mengenai sistem syaraf;9
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit mata dan adnexa;29
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit telinga dan mastoid;11
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem sirkulasi;50
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pernafasan;386
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pencernaan;357
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada kulit dan jaringan subcutaneous;62
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem musculoskletal;103
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem saluran kemih dan genital;24
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Kehamilan dan kelahiran;5
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;38
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keracunan, cedera dan beberapa penyebab yang dari luar;12
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;393
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit Infeksi dan parasit;165
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Neoplasma;17
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Endokrin, nutrisi dan gangguan metabolik;101
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gangguan jiwa dan perilaku;8
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit yang mengenai sistem syaraf;60
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit mata dan adnexa;89
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit telinga dan mastoid;65
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem sirkulasi;132
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pernafasan;601
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pencernaan;337
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada kulit dan jaringan subcutaneous;115
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem musculoskletal;234
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem saluran kemih dan genital;43
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Kehamilan dan kelahiran;4
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;129
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keracunan, cedera dan beberapa penyebab yang dari luar;58
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;249
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit Infeksi dan parasit;298
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Neoplasma;22
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Endokrin, nutrisi dan gangguan metabolik;262
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gangguan jiwa dan perilaku;46
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit yang mengenai sistem syaraf;57
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit mata dan adnexa;140
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit telinga dan mastoid;67
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem sirkulasi;243
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pernafasan;791
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pencernaan;701
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada kulit dan jaringan subcutaneous;175
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem musculoskletal;347
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem saluran kemih dan genital;72
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Kehamilan dan kelahiran;7
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Malformasi kongenital, deformasi dan kelainan chromosom;7
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;152
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keracunan, cedera dan beberapa penyebab yang dari luar;60
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;681
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit Infeksi dan parasit;130
Surabaya Utara;Bulak;Puskesmas Kenjeran;Neoplasma;15
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Utara;Bulak;Puskesmas Kenjeran;Endokrin, nutrisi dan gangguan metabolik;35
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gangguan jiwa dan perilaku;11
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit yang mengenai sistem syaraf;6
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit mata dan adnexa;31
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit telinga dan mastoid;31
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem sirkulasi;35
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pernafasan;239
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pencernaan;286
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada kulit dan jaringan subcutaneous;77
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem musculoskletal;93
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem saluran kemih dan genital;20
Surabaya Utara;Bulak;Puskesmas Kenjeran;Kehamilan dan kelahiran;21
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keadaan yang berasal dari periode perinatal;3
Surabaya Utara;Bulak;Puskesmas Kenjeran;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;133
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keracunan, cedera dan beberapa penyebab yang dari luar;29
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Bulak;Puskesmas Kenjeran;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;444
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit Infeksi dan parasit;68
Surabaya Timur;Sukolilo;Puskesmas Keputih;Neoplasma;5
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Timur;Sukolilo;Puskesmas Keputih;Endokrin, nutrisi dan gangguan metabolik;101
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gangguan jiwa dan perilaku;29
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit yang mengenai sistem syaraf;10
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit mata dan adnexa;61
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit telinga dan mastoid;24
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem sirkulasi;85
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pernafasan;230
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pencernaan;111
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada kulit dan jaringan subcutaneous;77
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem musculoskletal;139
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem saluran kemih dan genital;26
Surabaya Timur;Sukolilo;Puskesmas Keputih;Kehamilan dan kelahiran;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keadaan yang berasal dari periode perinatal;0
Surabaya Timur;Sukolilo;Puskesmas Keputih;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;93
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keracunan, cedera dan beberapa penyebab yang dari luar;23
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyebab morbiditas dan kematian eksternal;3
Surabaya Timur;Sukolilo;Puskesmas Keputih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;172
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit Infeksi dan parasit;124
Surabaya Pusat;Genteng;Puskesmas Ketabang;Neoplasma;7
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Pusat;Genteng;Puskesmas Ketabang;Endokrin, nutrisi dan gangguan metabolik;95
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gangguan jiwa dan perilaku;15
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit yang mengenai sistem syaraf;51
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit mata dan adnexa;48
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit telinga dan mastoid;37
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem sirkulasi;118
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pernafasan;455
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pencernaan;398
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada kulit dan jaringan subcutaneous;104
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem musculoskletal;257
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem saluran kemih dan genital;28
Surabaya Pusat;Genteng;Puskesmas Ketabang;Kehamilan dan kelahiran;9
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keadaan yang berasal dari periode perinatal;1
Surabaya Pusat;Genteng;Puskesmas Ketabang;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;83
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keracunan, cedera dan beberapa penyebab yang dari luar;33
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyebab morbiditas dan kematian eksternal;7
Surabaya Pusat;Genteng;Puskesmas Ketabang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;232
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit Infeksi dan parasit;110
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Neoplasma;19
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Endokrin, nutrisi dan gangguan metabolik;62
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gangguan jiwa dan perilaku;3
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit yang mengenai sistem syaraf;12
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit mata dan adnexa;64
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit telinga dan mastoid;55
